Member_number,Date,itemDescription
1000,27-05-2015,soda
1000,24-07-2015,canned beer
1000,15-03-2015,sausage
1000,25-11-2015,sausage
1000,15-03-2015,whole milk
1000,24-06-2014,whole milk
1000,27-05-2015,pickled vegetables
1000,24-07-2015,misc. beverages
1000,15-03-2015,semi-finished bread
1000,25-11-2015,hygiene articles
1000,15-03-2015,yogurt
1000,24-06-2014,pastry
1000,24-06-2014,salty snack
1001,20-01-2015,frankfurter
1001,2/5/2015,frankfurter
1001,14-04-2015,beef
1001,7/2/2014,sausage
1001,12/12/2014,whole milk
1001,20-01-2015,soda
1001,2/5/2015,curd
1001,14-04-2015,white bread
1001,7/2/2014,whole milk
1001,12/12/2014,soda
1001,20-01-2015,whipped/sour cream
1001,7/2/2014,rolls/buns
1002,26-04-2015,tropical fruit
1002,30-08-2015,butter milk
1002,26-04-2014,butter
1002,9/2/2014,frozen vegetables
1002,26-04-2015,sugar
1002,30-08-2015,specialty chocolate
1002,26-04-2014,whole milk
1002,9/2/2014,other vegetables
1003,10/2/2015,sausage
1003,15-10-2014,root vegetables
1003,10/2/2015,rolls/buns
1003,15-10-2014,detergent
1003,19-01-2014,frozen meals
1003,27-02-2014,rolls/buns
1003,19-01-2014,dental care
1003,27-02-2014,rolls/buns
1004,2/12/2015,other vegetables
1004,4/2/2014,pip fruit
1004,19-08-2014,root vegetables
1004,1/7/2014,canned beer
1004,10/6/2014,rolls/buns
1004,13-10-2014,whole milk
1004,10/7/2014,other vegetables
1004,2/12/2015,hygiene articles
1004,4/2/2014,whole milk
1004,19-08-2014,whole milk
1004,1/7/2014,frozen fish
1004,10/6/2014,red/blush wine
1004,13-10-2014,chocolate
1004,10/7/2014,shopping bags
1004,1/5/2014,dish cleaner
1004,13-10-2014,packaged fruit/vegetables
1004,4/2/2014,tropical fruit
1004,13-10-2014,rolls/buns
1004,1/5/2014,cling film/bags
1004,10/6/2014,chocolate
1004,19-08-2014,pastry
